Endpoint,Parameter Name,Location,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
GET /customer/getByTag/{tag},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customer/list,,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customer/list,customerClass,query,N/A,N/A,string,N/A,N/A,No,N/A,N/A,"Limit which type of customers are returned. If no value is passed, all customers are returned."
GET /customer/notesList/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerBeneficiary/get/{customerId}/{customerBeneficiaryId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerBeneficiary/get/{customerId}/{customerBeneficiaryId},customerBeneficiaryId,path,N/A,N/A,,N/A,N/A,Yes,N/A,N/A,
GET /customerBeneficiary/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerDocument/get/{customerId}/{documentId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerDocument/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customerRelationship/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /customers,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /customers,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /customers,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /customers/{customerId},customerId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the customer to get,N/A,N/A
GET /declined_transactions,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,category.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions,route_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /declined_transactions/{declined_transaction_id},declined_transaction_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /digital_card_profiles,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_card_profiles,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_card_profiles,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_card_profiles,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_card_profiles/{digital_card_profile_id},digital_card_profile_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /digital_wallet_tokens,card_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_wallet_tokens,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_wallet_tokens,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_wallet_tokens,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_wallet_tokens,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_wallet_tokens,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_wallet_tokens,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /digital_wallet_tokens/{digital_wallet_token_id},digital_wallet_token_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /disputes,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /disputes,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /disputes/{disputeId},disputeId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the dispute to get,N/A,N/A
GET /documents,category.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,entity_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /documents,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /documents/{document_id},document_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /entities,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entities,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entities,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entities,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entities,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entities,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entities,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /entities,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /entities/{entity_id},entity_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /entity_supplemental_documents,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entity_supplemental_documents,entity_id,query,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /entity_supplemental_documents,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /entity_supplemental_documents,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /event_subscriptions,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /event_subscriptions,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /event_subscriptions,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /event_subscriptions/{event_subscription_id},event_subscription_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /events,associated_object_id,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /events,category.in,query,✗,array,N/A,No,No,N/A,✗,,N/A
GET /events,created_at.after,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /events,created_at.before,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /events,created_at.on_or_after,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /events,created_at.on_or_before,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /events,cursor,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /events,filter,query,object,✗,N/A,No,No,N/A,,✗,N/A
GET /events,limit,query,✗,integer,N/A,No,No,N/A,✗,,N/A
GET /events,page,query,object,✗,N/A,No,No,N/A,,✗,N/A
GET /events/{eventId},eventId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the event to get,N/A,N/A
GET /events/{event_id},event_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /exports,category.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /exports,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /exports/{export_id},export_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /externalAccount/get/{customerId}/{externalAccountId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /externalAccount/get/{customerId}/{externalAccountId},externalAccountId,path,N/A,N/A,,N/A,N/A,Yes,N/A,N/A,
GET /externalAccount/getByTag/{customerId}/{tag},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /externalAccount/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /external_accounts,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /external_accounts,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /external_accounts,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /external_accounts,routing_number,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /external_accounts,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /external_accounts/{external_account_id},external_account_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /fee/config/list/{feeEngineExecutionTypeId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /files,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /files,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /files,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /files,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /files,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /files,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /files,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /files,purpose.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /files/{file_id},file_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /inbound_ach_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,account_number_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_ach_transfers/{inbound_ach_transfer_id},inbound_ach_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /inbound_check_deposits,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits,check_transfer_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_check_deposits/{inbound_check_deposit_id},inbound_check_deposit_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /inbound_mail_items,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_mail_items,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_mail_items,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_mail_items,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_mail_items,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_mail_items,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_mail_items,lockbox_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_mail_items/{inbound_mail_item_id},inbound_mail_item_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,account_number_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_real_time_payments_transfers/{inbound_real_time_payments_transfer_id},inbound_real_time_payments_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /inbound_wire_drawdown_requests,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_drawdown_requests,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_drawdown_requests/{inbound_wire_drawdown_request_id},inbound_wire_drawdown_request_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /inbound_wire_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,account_number_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers,wire_drawdown_request_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /inbound_wire_transfers/{inbound_wire_transfer_id},inbound_wire_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /institutions/{routingNumber},routingNumber,path,string,N/A,N/A,Yes,N/A,N/A,routingNumber of the institution to get,N/A,N/A
GET /intrafi_account_enrollments,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_account_enrollments,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_account_enrollments,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_account_enrollments,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_account_enrollments,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_account_enrollments/{intrafi_account_enrollment_id},intrafi_account_enrollment_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /intrafi_exclusions,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_exclusions,entity_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_exclusions,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_exclusions,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /intrafi_exclusions/{intrafi_exclusion_id},intrafi_exclusion_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /lockboxes,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /lockboxes/{lockbox_id},lockbox_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /oauth_applications,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_applications,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_applications,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_applications,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_applications,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_applications,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_applications,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_applications/{oauth_application_id},oauth_application_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /oauth_connections,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_connections,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_connections,oauth_application_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_connections,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /oauth_connections/{oauth_connection_id},oauth_connection_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /payments,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /payments,include,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /payments,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /payments,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /payments/{paymentId},included,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /payments/{paymentId},paymentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the payment to get,N/A,N/A
GET /pending_transactions,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,category.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,route_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /pending_transactions/{pending_transaction_id},pending_transaction_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /physical_card_profiles,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_card_profiles,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_card_profiles,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_card_profiles,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_card_profiles/{physical_card_profile_id},physical_card_profile_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /physical_cards,card_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /physical_cards/{physical_card_id},physical_card_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /program/listAccountHolds,,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /program/listAccountHolds,accountid,query,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /program/listAccountHolds,customerId,query,N/A,N/A,,N/A,N/A,No,N/A,N/A,Required if `accountId` is present
GET /program/listAccountHolds,statusType,query,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /program/listIndustryClassificationCodes,,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /program/questionsList,categoryName,query,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
GET /programs,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /programs,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /programs/{program_id},program_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /real_time_decisions/{real_time_decision_id},real_time_decision_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /real_time_payments_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,external_account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /real_time_payments_transfers/{real_time_payments_transfer_id},real_time_payments_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /received-payments,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /received-payments,include,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /received-payments,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /received-payments,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /received-payments/{paymentId},included,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /received-payments/{paymentId},paymentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the payment to get,N/A,N/A
GET /recurring-payments,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /recurring-payments,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /recurring-payments,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /recurring-payments/{paymentId},paymentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the payment to get,N/A,N/A
GET /recurring-repayments,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /recurring-repayments,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /recurring-repayments,sort,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /recurring-repayments/{recurringRepaymentId},include,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /recurring-repayments/{recurringRepaymentId},recurringRepaymentId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the recurring repayment to get,N/A,N/A
GET /repayments,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
